Word,W/million,logW,logW-CD
秃子,2,1.8261,1.5051
赫敏,2,1.8261,0.7782
光环,2,1.8261,1.7404
菩,2,1.8261,0.9031
危地马拉,2,1.8261,1.5051
休止,2,1.8261,1.7853
传记,2,1.8261,1.7076
溶解,2,1.8261,1.6902
交货,2,1.8261,1.7076
霍奇斯,2,1.8261,1.0414
萎缩,2,1.8261,1.6902
伍德考克,2,1.8261,0
少于,2,1.8261,1.7924
无谓,2,1.8261,1.7924
染上,2,1.8261,1.8062
老手,2,1.8261,1.7993
交还,2,1.8261,1.7924
盈利,1.97,1.8195,1.6902
缓和,1.97,1.8195,1.7853
瘪,1.97,1.8195,1.6721
大作,1.97,1.8195,1.7709
普尔,1.97,1.8195,1.2304
请愿书,1.97,1.8195,1.5563
计数,1.97,1.8195,1.7482
豪斯,1.97,1.8195,1.5315
町,1.97,1.8195,1.4771
琉,1.97,1.8195,1.1761
开办,1.97,1.8195,1.7559
走道,1.97,1.8195,1.7404
打消,1.97,1.8195,1.7559
惊异,1.97,1.8195,1.7404
划算,1.97,1.8195,1.7853
佛祖,1.97,1.8195,1.5911
撤走,1.97,1.8195,1.7243
聘用,1.97,1.8195,1.7634
胯,1.97,1.8195,1.6812
连续剧,1.97,1.8195,1.7404
加斯,1.97,1.8195,1.0414
半决赛,1.97,1.8195,1.6232
对称,1.97,1.8195,1.7324
挤压,1.97,1.8195,1.7324
总经理,1.97,1.8195,1.5563
软禁,1.97,1.8195,1.5911
参谋长,1.97,1.8195,1.5682
博得,1.97,1.8195,1.7634
佩内洛普,1.97,1.8195,0.8451
俚语,1.97,1.8195,1.7243
地中海,1.97,1.8195,1.7404
预言家,1.97,1.8195,1.5682
减去,1.97,1.8195,1.7559
出气,1.97,1.8195,1.7782
从容,1.97,1.8195,1.7993
欧拉,1.97,1.8195,0.699
贷,1.97,1.8195,1.7404
风采,1.97,1.8195,1.7782
贩,1.97,1.8195,1.7634
动向,1.97,1.8195,1.7924
安东尼奥,1.97,1.8195,1.3979
动心,1.97,1.8195,1.7709
供认,1.97,1.8195,1.7076
住宅区,1.97,1.8195,1.6812
辨识,1.97,1.8195,1.7324
手肘,1.97,1.8195,1.7782
微量,1.97,1.8195,1.699
返航,1.97,1.8195,1.6435
悬案,1.97,1.8195,1.7634
忍无可忍,1.97,1.8195,1.7709
车灯,1.97,1.8195,1.7076
面容,1.97,1.8195,1.7559
电压,1.97,1.8195,1.7482
阿飞,1.97,1.8195,1.716
变量,1.97,1.8195,1.5441
公诉,1.97,1.8195,1.6021
荳,1.97,1.8195,0
神枪手,1.97,1.8195,1.7076
葡萄牙,1.97,1.8195,1.6721
归罪,1.97,1.8195,1.7324
大发雷霆,1.97,1.8195,1.7924
维吉尔,1.97,1.8195,0.9542
着眼,1.97,1.8195,1.7853
台前,1.97,1.8195,1.7076
伊戈尔,1.97,1.8195,0.4771
坊,1.97,1.8195,1.6435
玫瑰花,1.97,1.8195,1.7324
秃,1.97,1.8195,1.7634
球星,1.97,1.8195,1.7482
班车,1.97,1.8195,1.6532
财团,1.97,1.8195,1.4314
爵,1.97,1.8195,1.415
斯坦·罗斯,1.97,1.8195,0
新闻界,1.97,1.8195,1.7076
北极熊,1.97,1.8195,1.6532
眼力,1.97,1.8195,1.7243
视网膜,1.97,1.8195,1.6721
偶遇,1.97,1.8195,1.7482
月底,1.97,1.8195,1.7482
语法,1.97,1.8195,1.716
叹气,1.97,1.8195,1.4914
艾丽卡,1.97,1.8195,0.699
行人,1.97,1.8195,1.7782
撇下,1.97,1.8195,1.7482
家长会,1.97,1.8195,1.699
滑行,1.97,1.8195,1.699
公益,1.97,1.8195,1.716
体格,1.97,1.8195,1.7782
子孙,1.97,1.8195,1.716
悔过,1.97,1.8195,1.5185
晚期,1.97,1.8195,1.7782
隐形眼镜,1.97,1.8195,1.5911
老话,1.97,1.8195,1.8129
顺手,1.97,1.8195,1.7853
巴顿,1.97,1.8195,1.3802
暴雨,1.97,1.8195,1.7243
紧跟,1.97,1.8195,1.716
膀胱,1.97,1.8195,1.7634
法郎,1.97,1.8195,1.4314
插管,1.97,1.8195,1.6532
抢劫犯,1.97,1.8195,1.699
倒流,1.97,1.8195,1.7559
高效,1.97,1.8195,1.6812
聚焦,1.97,1.8195,1.716
满分,1.97,1.8195,1.7076
乱成一团,1.97,1.8195,1.8062
馅,1.97,1.8195,1.716
羁押,1.97,1.8195,1.7243
兵力,1.97,1.8195,1.6232
诚,1.97,1.8195,1.6721
土匪,1.97,1.8195,1.5441
甲子,1.97,1.8195,0.6021
力所能及,1.97,1.8195,1.7782
肛,1.97,1.8195,1.6902
措手不及,1.97,1.8195,1.7782
情报员,1.97,1.8195,1.5051
品脱,1.97,1.8195,1.7404
掂,1.97,1.8195,1.6335
修理工,1.97,1.8195,1.6532
泰坦尼克号,1.97,1.8195,1.5441
下结论,1.97,1.8195,1.7993
貂,1.97,1.8195,1.4624
扳倒,1.97,1.8195,1.7482
补助,1.94,1.8129,1.6532
信号灯,1.94,1.8129,1.5315
情趣,1.94,1.8129,1.7853
劣质,1.94,1.8129,1.7559
深信不疑,1.94,1.8129,1.7853
可见,1.94,1.8129,1.8062
优越,1.94,1.8129,1.699
不说,1.94,1.8129,1.7324
一氧化碳,1.94,1.8129,1.4624
晴,1.94,1.8129,1.6628
佩特,1.94,1.8129,1.4771
奥布里,1.94,1.8129,0.7782
党派,1.94,1.8129,1.6721
酷刑,1.94,1.8129,1.7243
小道,1.94,1.8129,1.6902
播音员,1.94,1.8129,1.5441
香槟酒,1.94,1.8129,1.7559
再三,1.94,1.8129,1.7782
复出,1.94,1.8129,1.6628
曲解,1.94,1.8129,1.7324
分道扬镳,1.94,1.8129,1.8062
沼泽地,1.94,1.8129,1.6721
韩元,1.94,1.8129,1.3617
予以,1.94,1.8129,1.7634
缉,1.94,1.8129,1.699
交朋友,1.94,1.8129,1.7993
减压,1.94,1.8129,1.6532
娜迪亚,1.94,1.8129,1.2553
零蛋,1.94,1.8129,1.0792
配给,1.94,1.8129,1.6335
三角洲,1.94,1.8129,1.4472
玻璃杯,1.94,1.8129,1.699
慢走,1.94,1.8129,1.6628
淫秽,1.94,1.8129,1.6532
铁锤,1.94,1.8129,1.3424
文盲,1.94,1.8129,1.6232
扬声器,1.94,1.8129,1.6902
低谷,1.94,1.8129,1.7634
改观,1.94,1.8129,1.7853
政,1.94,1.8129,1.716
输液,1.94,1.8129,1.6902
会诊,1.94,1.8129,1.6812
偷运,1.94,1.8129,1.6902
空间站,1.94,1.8129,1.3802
哀伤,1.94,1.8129,1.7634
肉酱,1.94,1.8129,1.6902
伊尔,1.94,1.8129,0.8451
正门,1.94,1.8129,1.7634
独裁,1.94,1.8129,1.6335
手气,1.94,1.8129,1.716
芽,1.94,1.8129,1.5563
沉着,1.94,1.8129,1.7559
车臣,1.94,1.8129,1.415
缪,1.94,1.8129,1.5798
遗迹,1.94,1.8129,1.6021
朔,1.94,1.8129,0.9542
奄奄一息,1.94,1.8129,1.7993
扑克牌,1.94,1.8129,1.6335
恶性,1.94,1.8129,1.6532
偌,1.94,1.8129,0.9542
混入,1.94,1.8129,1.699
拜伦,1.94,1.8129,1.415
塔利班,1.94,1.8129,1.3979
独白,1.94,1.8129,1.6335
奥莉维亚,1.94,1.8129,1.0792
布鲁姆,1.94,1.8129,0.8451
货船,1.94,1.8129,1.6721
血脉,1.94,1.8129,1.7324
退款,1.94,1.8129,1.699
家政,1.94,1.8129,1.6021
面目,1.94,1.8129,1.7924
脚踏车,1.94,1.8129,1.6532
审核,1.94,1.8129,1.7324
归档,1.94,1.8129,1.699
即可,1.94,1.8129,1.7782
造物,1.94,1.8129,1.5185
机油,1.94,1.8129,1.6532
快车,1.94,1.8129,1.6021
烛光,1.94,1.8129,1.7853
绘制,1.94,1.8129,1.7324
自个儿,1.94,1.8129,1.7634
停停,1.94,1.8129,1.7634
惋惜,1.94,1.8129,1.7924
下辈子,1.94,1.8129,1.7559
失职,1.94,1.8129,1.7243
等离子,1.94,1.8129,1.6812
冲击波,1.94,1.8129,1.5185
清点,1.94,1.8129,1.7853
法兰西,1.94,1.8129,1.5441
多米诺,1.94,1.8129,1.0414
漱口,1.94,1.8129,1.6628
北约,1.94,1.8129,1.415
阁,1.94,1.8129,1.2553
海面,1.94,1.8129,1.7709
木桩,1.94,1.8129,1.5563
开采,1.94,1.8129,1.5563
大本营,1.94,1.8129,1.6812
波斯尼亚,1.94,1.8129,1.4314
机能,1.94,1.8129,1.7782
共犯,1.94,1.8129,1.7782
起因,1.94,1.8129,1.8062
交集,1.94,1.8129,1.7324
结冰,1.94,1.8129,1.6435
孔雀,1.94,1.8129,1.5563
疟疾,1.94,1.8129,1.5911
幕僚,1.94,1.8129,1.6021
贞洁,1.94,1.8129,1.5682
暧昧,1.94,1.8129,1.7634
皇上,1.94,1.8129,1.1461
电灯泡,1.94,1.8129,1.716
诸如,1.94,1.8129,1.7993
水门,1.94,1.8129,1.5563
泉水,1.94,1.8129,1.4624
就坐,1.94,1.8129,1.7993
浇水,1.94,1.8129,1.7243
乡间,1.94,1.8129,1.6902
止步,1.94,1.8129,1.7482
桑尼,1.94,1.8129,1.1461
马驹,1.94,1.8129,1.5682
民宅,1.94,1.8129,1.7924
沙尔,1.94,1.8129,0.4771
休学,1.94,1.8129,1.6628
罗宾逊,1.94,1.8129,1.2788
脑门,1.94,1.8129,1.7853
王室,1.94,1.8129,1.6628
罗素,1.94,1.8129,1.1139
干净利落,1.94,1.8129,1.7924
求饶,1.94,1.8129,1.7076
炳武,1.94,1.8129,0
翻开,1.94,1.8129,1.7853
过关,1.94,1.8129,1.7559
大于,1.91,1.8062,1.7634
待续,1.91,1.8062,1.7993
潦倒,1.91,1.8062,1.7782
嚯,1.91,1.8062,1.5315
保单,1.91,1.8062,1.5315
普特,1.91,1.8062,1.1761
婚后,1.91,1.8062,1.6902
堪萨斯州,1.91,1.8062,1.6532
划伤,1.91,1.8062,1.716
走神,1.91,1.8062,1.7782
美发,1.91,1.8062,1.6335
下垂,1.91,1.8062,1.7404
中期,1.91,1.8062,1.7782
佩吉,1.91,1.8062,0.9542
朱迪,1.91,1.8062,1.4771
酱油,1.91,1.8062,1.5051
脱脂,1.91,1.8062,1.716
先锋,1.91,1.8062,1.7782
诺曼,1.91,1.8062,1.3222
胸骨,1.91,1.8062,1.5798
中饭,1.91,1.8062,1.7482
扭断,1.91,1.8062,1.7782
扭动,1.91,1.8062,1.716
妍,1.91,1.8062,1
礼拜天,1.91,1.8062,1.6335
魔杖,1.91,1.8062,1.3802
孤僻,1.91,1.8062,1.7324
诺克斯,1.91,1.8062,1.3424
引入,1.91,1.8062,1.7634
摩萨德,1.91,1.8062,1.3424
渣滓,1.91,1.8062,1.7404
打分,1.91,1.8062,1.7559
里程,1.91,1.8062,1.6721
装蒜,1.91,1.8062,1.7709
肚脐,1.91,1.8062,1.6435
拍手,1.91,1.8062,1.6628
刻苦,1.91,1.8062,1.7782
勇往直前,1.91,1.8062,1.7559
敬仰,1.91,1.8062,1.7482
严酷,1.91,1.8062,1.716
食欲,1.91,1.8062,1.7782
米洛,1.91,1.8062,1
锁骨,1.91,1.8062,1.7243
孵化,1.91,1.8062,1.5798
汉考克,1.91,1.8062,0.4771
钻进,1.91,1.8062,1.7924
刀刃,1.91,1.8062,1.716
风向,1.91,1.8062,1.6812
闭路电视,1.91,1.8062,1.4914
包庇,1.91,1.8062,1.6902
场子,1.91,1.8062,1.7559
臣服,1.91,1.8062,1.6335
脊髓,1.91,1.8062,1.6721
处理器,1.91,1.8062,1.6335
样式,1.91,1.8062,1.7404
药水,1.91,1.8062,1.6721
癌细胞,1.91,1.8062,1.6812
置身事外,1.91,1.8062,1.7782
奥利,1.91,1.8062,0.8451
文雅,1.91,1.8062,1.7709
机关枪,1.91,1.8062,1.6628
潜水艇,1.91,1.8062,1.6628
平壤,1.91,1.8062,1.301
天体,1.91,1.8062,1.6435
煤矿,1.91,1.8062,1.5441
华伦,1.91,1.8062,1.1139
机组,1.91,1.8062,1.5563
恐怖片,1.91,1.8062,1.7076
伤者,1.91,1.8062,1.6812
世俗,1.91,1.8062,1.7404
刀伤,1.91,1.8062,1.7324
深切,1.91,1.8062,1.7559
有朝一日,1.91,1.8062,1.7853
海港,1.91,1.8062,1.6128
拉美,1.91,1.8062,1.5911
便秘,1.91,1.8062,1.699
台湾,1.91,1.8062,1.5441
台灯,1.91,1.8062,1.6335
基丰,1.91,1.8062,0
特许,1.91,1.8062,1.6021
鲜明,1.91,1.8062,1.7559
报警器,1.91,1.8062,1.7076
上涨,1.91,1.8062,1.6902
形影不离,1.91,1.8062,1.7924
夹心,1.91,1.8062,1.5798
迪恩,1.91,1.8062,1
诫,1.91,1.8062,1.6128
开路,1.91,1.8062,1.7404
按部就班,1.91,1.8062,1.7324
口技,1.91,1.8062,1.4314
体液,1.91,1.8062,1.7076
精光,1.91,1.8062,1.7709
自大狂,1.91,1.8062,1.699
躬,1.91,1.8062,1.7404
花纹,1.91,1.8062,1.716
无价,1.91,1.8062,1.7482
验血,1.91,1.8062,1.7076
颜面,1.91,1.8062,1.7924
飞行器,1.91,1.8062,1.5441
不切实际,1.91,1.8062,1.7559
墨尔本,1.91,1.8062,0.9031
赃物,1.91,1.8062,1.6902
支离破碎,1.91,1.8062,1.7924
可信度,1.91,1.8062,1.7634
兄长,1.91,1.8062,1.5911
凶狠,1.91,1.8062,1.716
生平,1.91,1.8062,1.7782
水分,1.91,1.8062,1.7404
讬,1.91,1.8062,1.3617
法利,1.91,1.8062,0.7782
杂物,1.91,1.8062,1.7559
欣喜若狂,1.91,1.8062,1.7634
苏茜,1.91,1.8062,1.1139
杏,1.91,1.8062,1.7076
精采,1.91,1.8062,1.5911
条理,1.91,1.8062,1.7243
帝王,1.91,1.8062,1.5563
灰心,1.91,1.8062,1.7559
人品,1.91,1.8062,1.7076
利于,1.91,1.8062,1.7924
装腔作势,1.91,1.8062,1.7634
手电,1.91,1.8062,1.716
声响,1.91,1.8062,1.7782
一道,1.91,1.8062,1.7404
为时已晚,1.88,1.7993,1.7709
大个,1.88,1.7993,1.6021
差遣,1.88,1.7993,1.7324
空房,1.88,1.7993,1.7324
辞去,1.88,1.7993,1.7482
配角,1.88,1.7993,1.6021
直径,1.88,1.7993,1.7243
笑料,1.88,1.7993,1.7076
十一月,1.88,1.7993,1.6628
不菲,1.88,1.7993,1.7782
呼呼,1.88,1.7993,1.7404
地域,1.88,1.7993,1.6721
流亡,1.88,1.7993,1.5315
痛不欲生,1.88,1.7993,1.7634
囚室,1.88,1.7993,1.6232
见面会,1.88,1.7993,1.6628
滋润,1.88,1.7993,1.7559
正前方,1.88,1.7993,1.7709
德里,1.88,1.7993,1.3617
唐纳德,1.88,1.7993,1.3979
加固,1.88,1.7993,1.6628
畏,1.88,1.7993,1.6902
甘休,1.88,1.7993,1.7782
维系,1.88,1.7993,1.7324
加思,1.88,1.7993,0.699
赌钱,1.88,1.7993,1.6721
下身,1.88,1.7993,1.7634
三角形,1.88,1.7993,1.6532
迫,1.88,1.7993,1.7243
心甘情愿,1.88,1.7993,1.7559
神庙,1.88,1.7993,1.5911
稍息,1.88,1.7993,1.6721
编写,1.88,1.7993,1.7243
弗雷迪,1.88,1.7993,0.9031
多重,1.88,1.7993,1.7404
炼,1.88,1.7993,1.6021
二等,1.88,1.7993,1.6021
圣坛,1.88,1.7993,1.699
百货,1.88,1.7993,1.6812
饭馆,1.88,1.7993,1.716
唾沫,1.88,1.7993,1.7243
不可开交,1.88,1.7993,1.7782
累赘,1.88,1.7993,1.7559
既然如此,1.88,1.7993,1.7559
卖掉,1.88,1.7993,1.7709
血糖,1.88,1.7993,1.6812
克罗地亚,1.88,1.7993,1.3222
山坡,1.88,1.7993,1.7243
康纳,1.88,1.7993,0.9031
短发,1.88,1.7993,1.6812
振奋人心,1.88,1.7993,1.7853
分组,1.88,1.7993,1.7559
知己,1.88,1.7993,1.7324
手印,1.88,1.7993,1.5441
断电,1.88,1.7993,1.699
字迹,1.88,1.7993,1.716
寒,1.88,1.7993,1.716
包抄,1.88,1.7993,1.7404
手边,1.88,1.7993,1.7853
姊,1.88,1.7993,1.3222
附带,1.88,1.7993,1.7853
红心,1.88,1.7993,1.4314
语调,1.88,1.7993,1.7324
打鼾,1.88,1.7993,1.699
木兰,1.88,1.7993,1.1139
双关语,1.88,1.7993,1.7709
纳尔逊,1.88,1.7993,1.3424
大庭广众,1.88,1.7993,1.7782
简洁,1.88,1.7993,1.7634
公开赛,1.88,1.7993,1.3979
纽带,1.88,1.7993,1.7482
高年级,1.88,1.7993,1.6532
骨气,1.88,1.7993,1.7076
免除,1.88,1.7993,1.7782
快餐店,1.88,1.7993,1.7634
选定,1.88,1.7993,1.7324
蛤,1.88,1.7993,1.5315
互助,1.88,1.7993,1.6532
全班,1.88,1.7993,1.699
合群,1.88,1.7993,1.7404
卡特里娜,1.88,1.7993,1.5185
跑题,1.88,1.7993,1.7634
吝啬,1.88,1.7993,1.7782
方块,1.88,1.7993,1.6335
必将,1.88,1.7993,1.699
马其顿,1.88,1.7993,1.0792
课本,1.88,1.7993,1.6812
萨瓦洛夫,1.88,1.7993,1.0792
银圣,1.88,1.7993,0
末端,1.88,1.7993,1.7404
咚,1.88,1.7993,1.5798
反向,1.88,1.7993,1.7243
叽,1.88,1.7993,1.6435
带劲,1.88,1.7993,1.7559
小心谨慎,1.88,1.7993,1.7924
伯克利,1.88,1.7993,1.5051
贾马尔,1.88,1.7993,0.699
冲走,1.88,1.7993,1.7243
当铺,1.88,1.7993,1.6335
昌,1.88,1.7993,1.1139
俄亥俄,1.88,1.7993,1.7076
板凳,1.88,1.7993,1.6021
漠不关心,1.88,1.7993,1.7482
睡袋,1.88,1.7993,1.6628
有如,1.88,1.7993,1.7404
异国,1.88,1.7993,1.7709
随从,1.88,1.7993,1.6721
黄泉,1.88,1.7993,1.6532
晚班,1.88,1.7993,1.7482
珍妮斯,1.88,1.7993,1.301
由衷,1.88,1.7993,1.7709
构想,1.88,1.7993,1.716
虾米,1.88,1.7993,1.5185
入住,1.88,1.7993,1.7482
作文,1.88,1.7993,1.5682
花哨,1.88,1.7993,1.7404
谬,1.88,1.7993,1.1761
投向,1.88,1.7993,1.7324
莫大,1.88,1.7993,1.7782
悠久,1.88,1.7993,1.7559
布拉德利,1.88,1.7993,1
昔日,1.88,1.7993,1.7076
狭,1.88,1.7993,0.9031
成效,1.88,1.7993,1.7924
奋战,1.88,1.7993,1.7559
务,1.88,1.7993,1.6128
跛,1.88,1.7993,1.4472
狭窄,1.88,1.7993,1.7404
转世,1.88,1.7993,1.6628
远古,1.88,1.7993,1.7482
得当,1.88,1.7993,1.7853
埃伯特,1.88,1.7993,0
送入,1.88,1.7993,1.7482
性能,1.88,1.7993,1.7634
漂移,1.88,1.7993,1.2788
还给,1.88,1.7993,1.7634
窥探,1.88,1.7993,1.7559
新款,1.88,1.7993,1.6902
撅,1.85,1.7924,1.7482
碉堡,1.85,1.7924,1.5315
百灵,1.85,1.7924,0.6021
喻,1.85,1.7924,1.699
凳,1.85,1.7924,1.699
南加州,1.85,1.7924,1.699
喷气机,1.85,1.7924,1.5911
外交官,1.85,1.7924,1.6435
菠菜,1.85,1.7924,1.6628
自生自灭,1.85,1.7924,1.7782
诊,1.85,1.7924,1.699
应征,1.85,1.7924,1.6628
要素,1.85,1.7924,1.699
吸毒者,1.85,1.7924,1.6902
退伍军人,1.85,1.7924,1.6435
一帆风顺,1.85,1.7924,1.7709
点滴,1.85,1.7924,1.7076
诺贝尔,1.85,1.7924,1.7559
走遍,1.85,1.7924,1.7709
谋划,1.85,1.7924,1.7324
尘埃,1.85,1.7924,1.4771
重担,1.85,1.7924,1.7482
十一点,1.85,1.7924,1.699
溜达,1.85,1.7924,1.7243
蜻蜓,1.85,1.7924,1.2041
安逸,1.85,1.7924,1.7482
对岸,1.85,1.7924,1.6628
变更,1.85,1.7924,1.7404
打盹,1.85,1.7924,1.7324
达尔文,1.85,1.7924,1.5682
拍打,1.85,1.7924,1.7076
宏伟,1.85,1.7924,1.7559
漩涡,1.85,1.7924,1.6902
粉笔,1.85,1.7924,1.699
财政部,1.85,1.7924,1.5798
无忧无虑,1.85,1.7924,1.7634
打瞌睡,1.85,1.7924,1.7404
杆子,1.85,1.7924,1.7243
耳语,1.85,1.7924,1.6021
霸占,1.85,1.7924,1.7559
蟋蟀,1.85,1.7924,1.5563
黎,1.85,1.7924,1.301
短缺,1.85,1.7924,1.6902
坂,1.85,1.7924,1.3802
军事法庭,1.85,1.7924,1.6335
媚,1.85,1.7924,1.7076
鞋跟,1.85,1.7924,1.6335
氰化,1.85,1.7924,1.4624
苏菲亚,1.85,1.7924,0.6021
独占,1.85,1.7924,1.7482
两千万,1.85,1.7924,1.6021
奔波,1.85,1.7924,1.7853
邻家,1.85,1.7924,1.6435
敞,1.85,1.7924,1.716
玄,1.85,1.7924,1.5185
肉汁,1.85,1.7924,1.5911
经手,1.85,1.7924,1.7634
午后,1.85,1.7924,1.7559
电椅,1.85,1.7924,1.6902
惠勒,1.85,1.7924,0.9542
墨菲,1.85,1.7924,1.3222
瞎话,1.85,1.7924,1.7243
脐带,1.85,1.7924,1.5911
曲奇,1.85,1.7924,1.5315
阿瑟,1.85,1.7924,1.0414
录用,1.85,1.7924,1.7076
羚羊,1.85,1.7924,1.6335
勇于,1.85,1.7924,1.7482
辱,1.85,1.7924,1.6902
横穿,1.85,1.7924,1.6721
乘务员,1.85,1.7924,1.5563
长夜,1.85,1.7924,1.7853
上风,1.85,1.7924,1.7559
互不,1.85,1.7924,1.7709
切入,1.85,1.7924,1.7482
绝境,1.85,1.7924,1.7482
甲虫,1.85,1.7924,1.5441
主页,1.85,1.7924,1.699
娟,1.85,1.7924,0.7782
到家,1.85,1.7924,1.7782
拼搏,1.85,1.7924,1.699
向来,1.85,1.7924,1.7709
航空局,1.85,1.7924,1.5682
躁,1.85,1.7924,1.7782
残害,1.85,1.7924,1.7076
哭喊,1.85,1.7924,1.7243
清爽,1.85,1.7924,1.6721
特务,1.85,1.7924,1.5441
读物,1.85,1.7924,1.7243
曙光,1.85,1.7924,1.699
掳,1.85,1.7924,1.6812
细小,1.85,1.7924,1.7324
纯正,1.85,1.7924,1.7404
管区,1.85,1.7924,1.4472
燕尾服,1.85,1.7924,1.6902
杜鲁门,1.85,1.7924,1.3979
威尔士,1.85,1.7924,1.6128
快捷,1.85,1.7924,1.699
臣,1.85,1.7924,1.4624
雀,1.85,1.7924,1.5051
卡路里,1.85,1.7924,1.7324
嚣张,1.85,1.7924,1.7243
没辙,1.85,1.7924,1.7634
姐夫,1.85,1.7924,1.699
庄重,1.85,1.7924,1.6335
原状,1.85,1.7924,1.7853
孕育,1.85,1.7924,1.7243
结巴,1.85,1.7924,1.5051
卡米拉,1.85,1.7924,0.9031
界线,1.85,1.7924,1.716
取而代之,1.85,1.7924,1.7709
无奈,1.85,1.7924,1.7709
屏,1.85,1.7924,1.7076
随之,1.85,1.7924,1.7404
贝斯,1.85,1.7924,1.4624
新药,1.85,1.7924,1.6628
适可而止,1.85,1.7924,1.7634
一个样,1.85,1.7924,1.7404
灼伤,1.85,1.7924,1.6721
马尾,1.85,1.7924,1.7076
井井有条,1.85,1.7924,1.7782
石棉,1.85,1.7924,1.5441
翻滚,1.85,1.7924,1.716
哈德,1.85,1.7924,0
神龙,1.85,1.7924,0.9542
高等,1.85,1.7924,1.7324
分析员,1.85,1.7924,1.7076
歌剧院,1.85,1.7924,1.5911
翻转,1.85,1.7924,1.6721
必需品,1.85,1.7924,1.7324
高高,1.85,1.7924,1.7709
超重,1.85,1.7924,1.7324
尽心尽力,1.85,1.7924,1.7709
民权,1.85,1.7924,1.5682
颇为,1.85,1.7924,1.7404
乐手,1.85,1.7924,1.6721
亲兄弟,1.85,1.7924,1.716
成家,1.85,1.7924,1.7634
求之不得,1.85,1.7924,1.7782
家事,1.85,1.7924,1.7482
单亲,1.85,1.7924,1.7324
呯,1.85,1.7924,1.3424
排气,1.85,1.7924,1.6812
旭,1.85,1.7924,0.4771
奎尔,1.85,1.7924,1.301
咖,1.85,1.7924,1.6532
庇,1.85,1.7924,1.4914
活塞,1.85,1.7924,1.3979
纳塔丽,1.85,1.7924,0.9542
错话,1.82,1.7853,1.7634
缅甸,1.82,1.7853,1.2788
详,1.82,1.7853,1.7482
保暖,1.82,1.7853,1.7243
号角,1.82,1.7853,1.6232
身着,1.82,1.7853,1.7559
孤零零,1.82,1.7853,1.7324
情谊,1.82,1.7853,1.7076
尤里,1.82,1.7853,1.0414
不足以,1.82,1.7853,1.7634
不觉,1.82,1.7853,1.7782
不复存在,1.82,1.7853,1.7709
地主,1.82,1.7853,1.5911
艾波尔,1.82,1.7853,0
乍,1.82,1.7853,1.6812
茫茫,1.82,1.7853,1.6628
中村,1.82,1.7853,1.415
寓所,1.82,1.7853,1.6232
射手,1.82,1.7853,1.6628
蔓,1.82,1.7853,1.4914
地表,1.82,1.7853,1.5051
私情,1.82,1.7853,1.6532
自始至终,1.82,1.7853,1.7709
赫特,1.82,1.7853,0.9542
四百,1.82,1.7853,1.6435
酩,1.82,1.7853,1.7634
紧接着,1.82,1.7853,1.7782
忽,1.82,1.7853,1.5051
淳,1.82,1.7853,1
车胎,1.82,1.7853,1.6335
维罗尼卡,1.82,1.7853,0.7782
白领,1.82,1.7853,1.7634
穿衣,1.82,1.7853,1.7482
韵事,1.82,1.7853,1.699
鼠疫,1.82,1.7853,1.1139
小号,1.82,1.7853,1.6721
配料,1.82,1.7853,1.7076
路瑟,1.82,1.7853,1.1139
缘由,1.82,1.7853,1.7404
二流,1.82,1.7853,1.7076
减刑,1.82,1.7853,1.6335
烤炉,1.82,1.7853,1.7243
母鸡,1.82,1.7853,1.6628
称得上,1.82,1.7853,1.7559
低能,1.82,1.7853,1.6532
卖家,1.82,1.7853,1.716
山地,1.82,1.7853,1.6721
白雪公主,1.82,1.7853,1.5682
恍惚,1.82,1.7853,1.7482
惨遭,1.82,1.7853,1.7559
守法,1.82,1.7853,1.7324
猥琐,1.82,1.7853,1.7243
宽松,1.82,1.7853,1.7404
风范,1.82,1.7853,1.7559
长生不老,1.82,1.7853,1.6128
黑发,1.82,1.7853,1.7243
莲花,1.82,1.7853,1.3802
崔克,1.82,1.7853,0.6021
斯维加斯,1.82,1.7853,1.6628
沉沦,1.82,1.7853,1.5051
茄,1.82,1.7853,1.6232
动不动,1.82,1.7853,1.7782
右翼,1.82,1.7853,1.716
届时,1.82,1.7853,1.7709
心软,1.82,1.7853,1.7482
落花,1.82,1.7853,1.7324
七十,1.82,1.7853,1.7324
绣,1.82,1.7853,1.5682
赛前,1.82,1.7853,1.6435
一成不变,1.82,1.7853,1.716
输送,1.82,1.7853,1.6721
第十二,1.82,1.7853,1.6628
家当,1.82,1.7853,1.7634
溃疡,1.82,1.7853,1.6128
据点,1.82,1.7853,1.7076
收尾,1.82,1.7853,1.7782
伐木,1.82,1.7853,1.5911
结账,1.82,1.7853,1.699
核能,1.82,1.7853,1.5911
燕,1.82,1.7853,1.4914
懒鬼,1.82,1.7853,1.699
细致,1.82,1.7853,1.7404
乳腺癌,1.82,1.7853,1.5315
事项,1.82,1.7853,1.7404
照明,1.82,1.7853,1.6232
烧坏,1.82,1.7853,1.7404
淋病,1.82,1.7853,1.4914
特价,1.82,1.7853,1.7076
丝带,1.82,1.7853,1.6435
烟头,1.82,1.7853,1.6128
克里夫,1.82,1.7853,1.0792
田野,1.82,1.7853,1.6532
陈旧,1.82,1.7853,1.6812
嗅到,1.82,1.7853,1.7324
班尼特,1.82,1.7853,1.415
逐,1.82,1.7853,1.6902
开发商,1.82,1.7853,1.6021
