Word,W/million,logW,logW-CD
找到,659.62,4.3449,3.7109
后,656.34,4.3428,3.741
爸爸,653.72,4.341,3.5737
一切,647.13,4.3366,3.7264
抱歉,642.78,4.3337,3.7072
比,637.06,4.3298,3.7447
感觉,635.39,4.3287,3.7079
些,634.52,4.3281,3.7323
只是,632.35,4.3266,3.7315
怎么样,625.58,4.3219,3.7225
出来,624.15,4.3209,3.7429
不要,616.43,4.3155,3.6976
对不起,612.52,4.3128,3.681
问,609.75,4.3108,3.7231
离开,606.89,4.3088,3.7173
一点,606.38,4.3084,3.7264
一定,604.33,4.3069,3.7221
起,603.07,4.306,3.7439
还是,596.13,4.301,3.7487
发现,589.45,4.2961,3.7042
所,587.69,4.2948,3.7139
住,584.32,4.2923,3.7139
件,583.31,4.2915,3.7209
正,582.36,4.2908,3.7329
而且,578.42,4.2879,3.7051
并,578.12,4.2877,3.7032
必须,575.92,4.286,3.6953
意思,573.5,4.2842,3.7244
放,569.33,4.281,3.7276
不错,564.29,4.2772,3.6969
肯定,552.4,4.2679,3.7109
电话,547.72,4.2642,3.6478
为了,544.74,4.2618,3.7237
搞,544.41,4.2616,3.6987
棒,544.11,4.2613,3.636
第一,542.29,4.2599,3.7162
妈,539.85,4.2579,3.5635
地,536.84,4.2555,3.6882
进,525.66,4.2464,3.7196
那样,521.51,4.2429,3.702
大家,520.41,4.242,3.6609
新,515.43,4.2378,3.7041
您,515.08,4.2375,3.5013
向,513.29,4.236,3.7039
一些,510.72,4.2338,3.6908
三,504.26,4.2283,3.6781
那里,500.29,4.2249,3.6661
以为,494.3,4.2196,3.7153
高兴,491.26,4.217,3.6899
嘛,491.02,4.2167,3.6321
老,490.39,4.2162,3.6561
位,487.92,4.214,3.6496
过来,483.6,4.2101,3.6947
掉,481.15,4.2079,3.6964
先,478.74,4.2057,3.7148
等等,474.59,4.202,3.6721
生活,474.51,4.2019,3.6766
之,471.11,4.1988,3.6735
买,469.97,4.1977,3.6404
种,468.48,4.1963,3.6933
医生,467.38,4.1953,3.4884
最后,453.1,4.1818,3.6904
之前,452.71,4.1815,3.7088
伙计,449.02,4.1779,3.5298
手,447.44,4.1764,3.6739
任何,444.7,4.1737,3.6846
很多,443.38,4.1724,3.6972
哪儿,443.35,4.1724,3.5723
这种,435.66,4.1648,3.6908
上帝,435.37,4.1645,3.5664
女人,428.9,4.158,3.6167
名字,427.32,4.1564,3.661
认识,426.39,4.1555,3.6574
坐,423.41,4.1524,3.6727
今晚,422.64,4.1516,3.5855
其他,422.19,4.1512,3.6689
喝,417.45,4.1463,3.6239
记得,414.29,4.143,3.6733
家伙,412.74,4.1413,3.609
与,408.39,4.1367,3.6308
或者,405.32,4.1334,3.6651
写,405.08,4.1332,3.5971
穿,404.99,4.1331,3.6386
弄,404.63,4.1327,3.6631
过去,401.98,4.1299,3.6801
哪里,401.56,4.1294,3.5976
啦,398.52,4.1261,3.5096
却,397.84,4.1254,3.6615
算,397.57,4.1251,3.6784
担心,394.62,4.1218,3.6826
继续,394.11,4.1213,3.667
送,393.84,4.121,3.6648
女孩,393.39,4.1205,3.557
以,390,4.1167,3.683
玩,388.51,4.115,3.6202
亲爱,381.05,4.1066,3.5616
下来,380.01,4.1054,3.6728
成,373.78,4.0983,3.681
条,372.86,4.0972,3.6359
够,369.76,4.0936,3.677
父亲,369.61,4.0934,3.4912
以前,369.37,4.0931,3.6654
跑,367.61,4.091,3.6073
月,365.25,4.0882,3.6142
早,363.23,4.0858,3.6609
美国,363.23,4.0858,3.5095
长,362.87,4.0854,3.6593
完全,359.74,4.0816,3.6523
宝贝,356.22,4.0774,3.534
号,353.6,4.0742,3.5134
枪,353.24,4.0737,3.42
狗,351.99,4.0722,3.4195
可是,349.93,4.0696,3.5778
世界,349.4,4.069,3.6068
小时,349.04,4.0685,3.6348
重要,348.08,4.0673,3.6547
谈,347.37,4.0664,3.6001
别人,346.18,4.0649,3.6506
男人,346.03,4.0648,3.5835
头,345.25,4.0638,3.6414
机会,344.92,4.0634,3.6405
岁,344.48,4.0628,3.5927
出去,343.52,4.0616,3.6382
活,343.08,4.061,3.6062
看见,341.08,4.0585,3.5837
者,339.44,4.0564,3.5462
打电话,336.52,4.0527,3.5822
喂,336.43,4.0525,3.4867
好像,334.28,4.0498,3.6236
得到,333.51,4.0488,3.6358
警察,333.15,4.0483,3.4447
完,332.73,4.0477,3.6627
张,332.26,4.0471,3.5999
儿子,330.88,4.0453,3.4658
之后,330.85,4.0453,3.6225
漂亮,328.86,4.0427,3.5839
分钟,328.77,4.0425,3.603
接,327.01,4.0402,3.6229
场,326.8,4.0399,3.594
再见,326.65,4.0397,3.5707
求,325.04,4.0376,3.5446
刚,324.56,4.0369,3.6489
如何,324.3,4.0366,3.6041
比赛,319.74,4.0304,3.2516
呀,318.96,4.0294,3.3762
情况,318.16,4.0283,3.6171
变,315.38,4.0245,3.6326
关系,315,4.024,3.6252
真是,314.76,4.0236,3.6209
女士,314.31,4.023,3.5362
本,313.77,4.0223,3.5732
马上,310.4,4.0176,3.63
决定,307.57,4.0136,3.5998
见到,307.54,4.0136,3.6073
根本,307.36,4.0133,3.6217
关于,306.02,4.0114,3.6098
那儿,305.67,4.0109,3.5395
难,305.67,4.0109,3.6428
只要,305.13,4.0101,3.6428
里面,303.55,4.0079,3.6127
每,302.68,4.0066,3.6286
份,302.68,4.0066,3.6006
到底,302.06,4.0057,3.6281
了解,301.88,4.0055,3.6102
明天,301.31,4.0047,3.5911
站,300.51,4.0035,3.5989
结束,299.58,4.0022,3.6198
公司,299.46,4.002,3.4288
成为,299.23,4.0016,3.5883
永远,299.17,4.0016,3.611
帮助,299.08,4.0014,3.6011
来说,298.87,4.0011,3.6256
多少,297.05,3.9985,3.6165
哇,296.63,3.9979,3.5026
名,296.6,3.9978,3.5468
它们,296.1,3.9971,3.5186
总,295.05,3.9955,3.6294
确定,294.78,3.9952,3.6098
有人,294.43,3.9946,3.6311
清楚,293.2,3.9928,3.6225
晚上,285.39,3.9811,3.5755
安全,284.41,3.9796,3.5236
怎样,284.05,3.979,3.5571
没什么,281.76,3.9755,3.6193
块,279.16,3.9715,3.5261
回家,279.02,3.9713,3.5806
留,276.39,3.9672,3.6197
周,275.47,3.9657,3.5124
愿意,273.98,3.9634,3.5927
计划,273.32,3.9623,3.5328
爸,272.87,3.9616,3.3845
俩,269.39,3.956,3.5408
停,269.12,3.9556,3.5791
不能,268.85,3.9552,3.63
他妈的,268.46,3.9545,3.232
说话,267.84,3.9535,3.6006
另,267.48,3.9529,3.6076
心,266.94,3.9521,3.5792
花,266.7,3.9517,3.5913
她们,265.66,3.95,3.3659
有些,264.98,3.9489,3.6024
门,264.68,3.9484,3.5446
感谢,264.11,3.9474,3.5552
谈谈,262.92,3.9455,3.5752
定,261.16,3.9426,3.5843
于,260.15,3.9409,3.5826
以后,259.28,3.9394,3.574
管,259.25,3.9394,3.6012
照片,258.95,3.9389,3.3934
每个,258.89,3.9388,3.5801
欢迎,258.57,3.9382,3.5072
敢,258.27,3.9377,3.6063
兄弟,257.28,3.9361,3.4341
从来,255.79,3.9335,3.5744
总是,254.93,3.9321,3.5904
嘴,253.77,3.9301,3.5294
跳,253.26,3.9292,3.435
拜托,252.07,3.9272,3.5105
女儿,251.89,3.9269,3.4214
抓,251.29,3.9258,3.526
小姐,251.08,3.9255,3.412
动,250.58,3.9246,3.5215
赢,249.3,3.9224,3.4226
消息,248.79,3.9215,3.5577
女,248.7,3.9213,3.5357
忙,248.67,3.9213,3.5818
或许,247.86,3.9199,3.4064
如此,247.57,3.9193,3.5558
队,247,3.9183,3.3306
无法,245.21,3.9152,3.5369
房子,245.12,3.915,3.4502
拉,245,3.9148,3.4603
衣服,242.35,3.9101,3.5219
听说,241.4,3.9084,3.5715
救,241.31,3.9082,3.4738
参加,240.89,3.9075,3.5039
办法,240.23,3.9063,3.5683
睡,239.4,3.9048,3.5051
唯一,239.16,3.9043,3.5977
回去,238.27,3.9027,3.5624
人们,238.18,3.9025,3.5403
晚,237.58,3.9015,3.5711
该死,235.64,3.8979,3.4464
闭,235.32,3.8973,3.514
选择,235.05,3.8968,3.5322
坏,233.76,3.8944,3.5705
原因,233.38,3.8937,3.5792
下去,231.53,3.8903,3.5519
受,231.2,3.8896,3.5887
连,229.71,3.8868,3.5695
好好,229.65,3.8867,3.5703
全,229.32,3.8861,3.5571
确实,227.45,3.8825,3.5234
挺,226.64,3.881,3.521
此,226.4,3.8805,3.5489
水,225.98,3.8797,3.4905
混蛋,225.72,3.8792,3.3885
杯,224.79,3.8774,3.4905
保证,224.02,3.8759,3.5594
学校,223.63,3.8752,3.3865
卖,222.82,3.8736,3.4582
信,222.08,3.8722,3.4598
接受,221.9,3.8718,3.5539
改变,221.6,3.8712,3.532
舞,221.19,3.8704,3.0052
看来,221.07,3.8702,3.5532
高,221.04,3.8701,3.5416
麻烦,219.87,3.8678,3.546
出现,218.26,3.8646,3.5625
打算,218.06,3.8642,3.5169
电影,216.09,3.8603,3.3612
试,215.55,3.8592,3.5298
身上,215.46,3.859,3.5615
房间,214.87,3.8578,3.4732
美,214.63,3.8573,3.4349
不管,214.18,3.8564,3.5658
