Character,CHR/million,logCHR,logCHR-CD
长,909.37,4.6294,3.7711
亲,907.34,4.6284,3.7643
种,905.1,4.6273,3.7806
者,901.88,4.6258,3.7702
嘿,896.8,4.6233,3.6846
白,896.37,4.6231,3.7787
学,895.88,4.6229,3.7416
安,890.65,4.6203,3.7669
尔,881.36,4.6158,3.579
叫,881.04,4.6156,3.7781
理,877.41,4.6138,3.7752
本,876.64,4.6135,3.7782
国,869.15,4.6097,3.7149
第,868.15,4.6092,3.7817
友,857.13,4.6037,3.7668
高,854.89,4.6025,3.7782
两,853.35,4.6018,3.7789
保,848.21,4.5991,3.7723
请,845.2,4.5976,3.7697
非,842.06,4.596,3.7689
重,840.54,4.5952,3.7834
公,838.84,4.5943,3.7597
记,832.77,4.5912,3.776
身,827.48,4.5884,3.7789
受,825.94,4.5876,3.7795
住,821.54,4.5853,3.7758
活,816.29,4.5825,3.7784
加,814.67,4.5816,3.7656
何,810.98,4.5796,3.7705
伙,803.5,4.5756,3.7426
题,801.09,4.5743,3.7751
完,800.32,4.5739,3.7805
接,792.34,4.5695,3.7793
拿,791.06,4.5688,3.7758
望,785.44,4.5657,3.7782
解,781.83,4.5637,3.7717
其,774.64,4.5597,3.7769
离,762.68,4.553,3.7713
谈,762.22,4.5527,3.7254
又,761.49,4.5523,3.7782
新,757.82,4.5502,3.7711
更,755.68,4.549,3.7775
钱,751.95,4.5468,3.6921
马,744.9,4.5427,3.7451
思,744.11,4.5423,3.7738
部,742.85,4.5415,3.7606
场,741.78,4.5409,3.7555
嗯,739.5,4.5396,3.6485
计,738.43,4.5389,3.748
任,733.31,4.5359,3.7611
确,726.5,4.5319,3.7708
吃,722.21,4.5293,3.7398
始,718.98,4.5273,3.7755
结,704.06,4.5182,3.7686
利,702.74,4.5174,3.7231
朋,701.16,4.5164,3.754
警,695.14,4.5127,3.6456
士,682.56,4.5048,3.7175
外,677.76,4.5017,3.7679
件,674.86,4.4998,3.7594
难,671.06,4.4974,3.7735
位,670.93,4.4973,3.7487
表,670.24,4.4969,3.742
刚,668.75,4.4959,3.76
希,666.04,4.4941,3.7645
查,663.84,4.4927,3.6636
拉,661.96,4.4915,3.6592
边,661.21,4.491,3.7611
或,660.34,4.4904,3.7532
将,650.28,4.4837,3.7141
男,647.21,4.4817,3.7332
准,646.63,4.4813,3.761
变,644.84,4.4801,3.7655
证,643.99,4.4795,3.729
物,642.15,4.4783,3.7484
员,638.48,4.4758,3.7141
总,636.19,4.4742,3.7615
噢,626.33,4.4674,3.5511
系,626.24,4.4674,3.754
几,622.36,4.4647,3.7672
管,621.38,4.464,3.7672
玩,618.35,4.4619,3.7439
处,613.61,4.4585,3.766
办,612.84,4.458,3.7578
主,611.17,4.4568,3.7547
气,604.9,4.4523,3.7577
每,604.3,4.4519,3.7622
少,603.44,4.4513,3.7693
切,602.08,4.4503,3.7513
失,601.8,4.4501,3.7605
算,600.95,4.4495,3.7607
性,599.94,4.4487,3.7257
此,598.83,4.4479,3.7482
必,596.91,4.4465,3.7534
备,590.7,4.442,3.7529
合,584.49,4.4374,3.7507
德,579.6,4.4338,3.4969
队,578.79,4.4331,3.625
试,573.13,4.4289,3.7302
抱,572.21,4.4282,3.742
医,568.67,4.4255,3.6182
通,568.24,4.4252,3.7458
体,567.66,4.4247,3.7366
乐,564.8,4.4225,3.7088
并,561.11,4.4197,3.7318
三,560.94,4.4195,3.7397
早,558.48,4.4176,3.7536
门,553.1,4.4134,3.7402
害,546.66,4.4083,3.7328
歉,543.26,4.4056,3.7291
选,542.66,4.4052,3.6904
嗨,541.08,4.4039,3.6316
房,538.97,4.4022,3.7118
命,534.02,4.3982,3.7183
且,528.89,4.394,3.7374
向,525.09,4.3909,3.7434
兴,521.72,4.3881,3.7431
球,519.86,4.3865,3.6119
服,518.33,4.3852,3.74
入,518.11,4.3851,3.7332
照,517.77,4.3848,3.7132
提,512.97,4.3807,3.7483
掉,508.53,4.3769,3.7386
夫,507.4,4.376,3.6568
路,500.88,4.3704,3.7208
演,498.98,4.3687,3.5907
够,496.55,4.3666,3.7539
日,494.25,4.3646,3.7127
案,491.32,4.362,3.597
舞,487.44,4.3585,3.4571
决,486.71,4.3579,3.7328
求,486.18,4.3574,3.7253
约,486,4.3573,3.6641
字,485.54,4.3568,3.7279
呃,485.34,4.3567,3.5245
肯,484.83,4.3562,3.7346
目,479.96,4.3518,3.7053
笑,475.69,4.348,3.7181
伤,472.81,4.3453,3.7184
神,471.32,4.3439,3.7031
父,471.06,4.3437,3.6353
指,470.1,4.3428,3.7252
报,467.62,4.3405,3.6959
留,466.66,4.3396,3.7389
水,465.25,4.3383,3.7061
教,464.72,4.3378,3.6608
枪,463.95,4.3371,3.5256
清,462.41,4.3357,3.7387
色,461.65,4.3349,3.7064
号,460.51,4.3339,3.6696
世,460.41,4.3338,3.7133
远,460,4.3334,3.7421
片,457.53,4.331,3.6901
官,456.97,4.3305,3.5436
口,456.54,4.3301,3.7329
师,455.28,4.3289,3.6465
原,454.17,4.3278,3.7456
酒,451.97,4.3257,3.649
周,450.29,4.3241,3.6986
星,447.77,4.3217,3.6546
识,445.72,4.3197,3.7322
赛,436.69,4.3108,3.432
救,436.01,4.3101,3.652
底,431.46,4.3056,3.7349
棒,427.19,4.3012,3.6526
须,425.82,4.2999,3.7015
收,420.83,4.2947,3.7191
