Character,CHR/million,logCHR,logCHR-CD
弗,140.8,3.8192,3.0382
季,140.58,3.8186,3.5831
严,140.22,3.8174,3.5378
推,139.9,3.8164,3.4967
伯,139.3,3.8146,3.1526
莉,139.19,3.8142,2.8745
武,139.11,3.814,3.3066
胜,139.02,3.8137,3.4007
毛,138.49,3.812,3.4574
压,138.4,3.8118,3.4844
败,137.96,3.8104,3.4501
究,137.93,3.8103,3.4601
评,137.81,3.8099,3.2878
屋,136.31,3.8052,3.4479
双,136.23,3.8049,3.4876
牙,135.88,3.8038,3.3824
斗,135.1,3.8013,3.384
鸡,134.95,3.8008,3.356
审,134.18,3.7983,3.2679
南,133.98,3.7977,3.3298
速,133.96,3.7976,3.4426
蠢,133.92,3.7975,3.4747
丈,133.17,3.795,3.3581
守,133.11,3.7948,3.4642
获,133.09,3.7948,3.4704
八,132.83,3.7939,3.4745
致,132.34,3.7923,3.4962
细,132.23,3.792,3.4978
勒,132.21,3.7919,3.1898
称,132.11,3.7916,3.5081
塔,131.47,3.7894,3.179
丢,131.19,3.7885,3.4925
冰,131.19,3.7885,3.3789
态,130.93,3.7877,3.4947
吓,130.8,3.7872,3.4995
古,130.53,3.7863,3.3674
亡,129.93,3.7843,3.4064
状,129.8,3.7839,3.4733
鲁,128.88,3.7808,3.1959
疗,128.75,3.7804,3.3224
操,128.67,3.7801,3.3318
遗,127.39,3.7758,3.4717
判,127.24,3.7752,3.3786
响,127.13,3.7749,3.5001
网,126.98,3.7744,3.3845
箱,126.73,3.7735,3.3899
货,126.58,3.773,3.3967
围,126.09,3.7713,3.505
签,125.92,3.7707,3.3902
牌,125.36,3.7688,3.3897
户,124.59,3.7661,3.3986
寻,124.51,3.7658,3.4793
质,124.48,3.7657,3.431
供,123.84,3.7635,3.4571
奖,123.63,3.7628,3.3426
袋,123.55,3.7625,3.4379
胡,123.55,3.7625,3.4229
脏,123.52,3.7624,3.3992
堂,123.33,3.7617,3.3817
曼,123.2,3.7613,3.1418
效,123.14,3.761,3.4739
露,123.01,3.7606,3.4285
替,122.95,3.7603,3.4562
娜,122.88,3.7601,2.9661
座,122.82,3.7599,3.4366
园,122.71,3.7595,3.3683
拥,122.5,3.7588,3.4707
睛,122.31,3.7581,3.4445
冒,122.31,3.7581,3.4953
甜,122.24,3.7579,3.386
股,122.2,3.7577,3.396
香,122.2,3.7577,3.3793
笔,121.41,3.7549,3.4218
沙,121.33,3.7546,3.3428
扰,121.11,3.7538,3.48
挑,121.11,3.7538,3.4053
姑,120.41,3.7513,3.331
爆,119.81,3.7491,3.345
镇,119.57,3.7483,3.3214
暴,119.47,3.7479,3.4385
困,118.23,3.7434,3.4797
项,118.21,3.7433,3.3876
概,118.1,3.7429,3.4679
摩,117.76,3.7416,3.237
虽,117.57,3.7409,3.4797
纽,117.25,3.7397,3.2378
享,117.1,3.7392,3.4615
配,116.88,3.7384,3.4527
迹,116.69,3.7377,3.3986
登,116.48,3.7369,3.3351
诞,116.27,3.7361,3.1072
竟,115.82,3.7344,3.4675
叔,115.69,3.7339,3.0422
捕,115.5,3.7332,3.3659
赌,115.24,3.7322,3.3326
阻,114.9,3.7309,3.4291
彩,114.88,3.7309,3.3416
搬,114.54,3.7296,3.3713
属,114.39,3.729,3.4526
招,114.05,3.7277,3.4717
婆,113.64,3.7262,3.316
巧,113.6,3.726,3.4275
骨,113.38,3.7252,3.3322
塞,113.34,3.725,3.298
剩,113.32,3.7249,3.4683
酷,113.21,3.7245,3.4026
啡,113,3.7237,3.3471
课,112.83,3.723,3.3166
烟,112.64,3.7223,3.3191
摄,112.32,3.7211,3.2355
封,112.25,3.7208,3.3707
咖,112.12,3.7203,3.3434
低,112.06,3.7201,3.458
技,111.72,3.7188,3.3901
迟,111.59,3.7183,3.4472
纸,111.46,3.7178,3.3955
烧,110.84,3.7153,3.3664
委,110.65,3.7146,3.1523
暗,110.5,3.714,3.4084
左,110.16,3.7126,3.3952
输,110.03,3.7121,3.3547
曲,109.33,3.7094,3.2876
仍,109.24,3.709,3.4293
训,109.16,3.7087,3.3537
借,109.16,3.7087,3.4433
扔,109.01,3.7081,3.4079
善,108.69,3.7068,3.3908
社,108.54,3.7062,3.3619
轮,108.49,3.706,3.3892
顶,108.45,3.7059,3.4163
聪,108.3,3.7053,3.4333
秀,108.07,3.7043,3.2629
刀,106.72,3.6989,3.2891
莫,106.47,3.6978,3.1635
腿,106.38,3.6975,3.3675
族,105.87,3.6954,3.2531
鞋,105.76,3.695,3.2918
兵,105.57,3.6942,3.1389
锁,105.46,3.6937,3.3751
妮,105.4,3.6935,2.8899
异,105.31,3.6931,3.4103
誓,105.23,3.6928,3.4126
树,105.14,3.6924,3.2867
木,105.12,3.6923,3.269
抢,104.76,3.6908,3.3367
档,104.67,3.6905,3.3336
雇,104.57,3.69,3.3103
广,104.52,3.6898,3.3056
丹,104.4,3.6893,2.9538
银,104.29,3.6889,3.2304
镜,104.27,3.6888,3.3351
群,104.18,3.6884,3.4126
坦,104.18,3.6884,3.294
汉,104.05,3.6879,3.2245
土,103.99,3.6876,3.3153
短,103.99,3.6876,3.4138
伴,103.63,3.6861,3.382
播,103.63,3.6861,3.2758
环,103.5,3.6856,3.3644
恨,103.5,3.6856,3.3826
移,103.43,3.6853,3.3679
编,103.14,3.684,3.3071
温,103.07,3.6838,3.3547
刺,102.9,3.683,3.393
毫,102.15,3.6799,3.4276
右,102.11,3.6797,3.3679
野,101.94,3.679,3.3397
哭,101.92,3.6789,3.3328
遍,101.83,3.6785,3.4478
库,101.45,3.6769,3.2405
搭,101.11,3.6754,3.3558
康,100.79,3.674,3.3032
症,100.1,3.6711,3.2776
荣,100.08,3.671,3.3512
充,99.7,3.6693,3.4349
创,99.63,3.669,3.3773
尝,99.59,3.6689,3.353
列,99.19,3.6671,3.3282
毕,98.72,3.665,3.3373
般,98.44,3.6638,3.4203
聚,97.88,3.6613,3.3543
劳,97.67,3.6604,3.3113
攻,97.39,3.6592,3.2579
忍,97.29,3.6587,3.4045
势,97.07,3.6577,3.3516
尊,96.6,3.6556,3.3736
吻,96.52,3.6552,3.2878
汤,96.48,3.655,3.0708
优,96.37,3.6546,3.3604
境,96.37,3.6546,3.4038
蒙,96.03,3.653,3.1824
偶,95.96,3.6527,3.2167
熟,95.47,3.6505,3.4379
营,95.47,3.6505,3.3004
苏,95.26,3.6495,3.1676
爷,95.24,3.6494,3.0374
微,95.07,3.6487,3.3764
埃,94.66,3.6468,2.9643
抽,94.43,3.6457,3.3379
盖,94.23,3.6448,3.3107
灯,94.21,3.6447,3.3306
莎,93.98,3.6437,2.9294
府,93.98,3.6437,3.2398
透,93.72,3.6425,3.4171
魂,93.7,3.6424,3.1956
艺,93.7,3.6424,3.2714
掌,93.29,3.6405,3.374
啥,93.27,3.6404,3.1847
升,93.12,3.6397,3.3349
裤,93.08,3.6395,3.2874
临,93.04,3.6393,3.3929
智,92.85,3.6384,3.3438
盘,91.78,3.6334,3.3621
研,91.01,3.6297,3.2746
菲,90.8,3.6287,2.975
归,90.41,3.6269,3.4168
撞,90.31,3.6263,3.3086
隐,90.28,3.6262,3.3666
附,90.24,3.626,3.3922
搜,90.07,3.6252,3.2672
摆,89.99,3.6248,3.361
散,89.9,3.6244,3.3713
阳,89.66,3.6232,3.3086
协,89.47,3.6223,3.3385
租,89.39,3.6219,3.2206
泰,88.9,3.6195,2.9899
岛,88.68,3.6185,3.1048
健,88.51,3.6176,3.3206
饼,88.32,3.6167,3.2292
较,88.32,3.6167,3.4014
避,88.26,3.6164,3.3659
猫,88.19,3.6161,3.1414
七,87.4,3.6121,3.3383
菜,86.87,3.6095,3.2856
糖,86.8,3.6092,3.2531
痴,86.7,3.6086,3.3179
富,86.7,3.6086,3.3002
降,86.36,3.6069,3.303
怜,85.97,3.605,3.3744
既,85.89,3.6046,3.42
织,85.86,3.6044,3.2455
执,85.82,3.6042,3.343
戒,85.78,3.604,3.2338
佛,85.74,3.6038,3.1529
抗,85.59,3.603,3.3132
笨,85.25,3.6013,3.284
航,85.2,3.6011,3.0892
妙,84.69,3.5985,3.3604
迈,84.63,3.5981,2.9786
耳,84.63,3.5981,3.3282
匙,84.5,3.5975,3.2111
宣,83.99,3.5948,3.3286
烂,83.99,3.5948,3.361
秒,83.79,3.5938,3.2824
挂,83.54,3.5925,3.3577
旁,83.26,3.5911,3.3854
勇,82.94,3.5894,3.2984
钥,82.56,3.5874,3.1995
悲,82.56,3.5874,3.3489
妇,82.19,3.5855,3.2838
圈,82.13,3.5851,3.3107
敬,82.06,3.5848,3.3073
劲,81.81,3.5834,3.374
帕,81.77,3.5832,2.9557
草,81.36,3.581,3.2982
醉,81.36,3.581,3.2938
绑,81.34,3.5809,3.1827
层,81.27,3.5806,3.286
吵,81.23,3.5804,3.3235
龙,81.08,3.5796,3.1377
挥,80.98,3.579,3.2639
奋,80.72,3.5776,3.3351
忆,80.72,3.5776,3.2516
折,80.59,3.5769,3.3541
彼,80.57,3.5768,3.1934
末,80.55,3.5767,3.3206
北,80.44,3.5761,3.2327
景,80.36,3.5756,3.3361
沃,80.29,3.5753,2.8488
废,80.16,3.5746,3.34
副,80.06,3.574,3.2849
默,79.91,3.5732,3.2269
铁,79.87,3.573,3.2433
初,79.84,3.5729,3.3467
雪,79.65,3.5718,3.1596
瓦,79.44,3.5707,2.9921
素,79.31,3.57,3.2686
禁,79.1,3.5688,3.3128
诚,78.97,3.5681,3.3255
黄,78.86,3.5675,3.2643
敌,78.8,3.5671,3.2232
夏,78.8,3.5671,3.1364
贵,78.61,3.5661,3.3243
欧,78.5,3.5655,3.055
旦,78.16,3.5636,3.3332
依,78.05,3.563,3.3224
谅,78.01,3.5628,3.2971
桌,77.99,3.5626,3.3126
雄,77.73,3.5612,3.2193
丁,77.71,3.5611,3.1427
舒,77.6,3.5605,3.333
粉,77.58,3.5604,3.2443
旧,77.5,3.5599,3.328
朝,77.47,3.5598,3.2989
厅,77.28,3.5587,3.2831
恭,77.15,3.558,3.2643
汽,77.03,3.5573,3.2463
补,76.94,3.5568,3.3464
徒,76.94,3.5568,3.2333
稍,76.94,3.5568,3.3274
摇,76.62,3.555,3.2114
躲,76.49,3.5542,3.312
窗,76.28,3.553,3.2781
源,76.17,3.5524,3.2947
蓝,76.09,3.5519,3.2253
章,76,3.5514,3.2297
灭,75.7,3.5497,3.2548
疼,75.34,3.5477,3.2485
孤,75.28,3.5473,3.2853
滑,75.21,3.5469,3.2304
碎,75.15,3.5465,3.2909
弱,74.7,3.5439,3.3195
仔,74.66,3.5437,3.2856
款,74.42,3.5423,3.2378
拒,74.4,3.5422,3.3274
河,74.1,3.5405,3.1547
伍,73.74,3.5383,3.0422
纹,73.67,3.5379,3.1449
臭,73.61,3.5376,3.2582
幻,73.12,3.5347,3.2214
童,73.03,3.5342,3.2209
翰,72.91,3.5334,2.7993
闪,72.8,3.5328,3.2258
残,72.78,3.5326,3.3153
鸟,72.76,3.5325,3.1787
骑,72.42,3.5305,3.0803
翻,72.2,3.5292,3.3164
洲,72.18,3.529,3.179
瑟,71.82,3.5269,2.7973
沉,71.45,3.5247,3.2953
饿,71.22,3.5232,3.2723
砸,71.22,3.5232,3.3088
互,71.2,3.5231,3.3137
卷,71.18,3.523,3.273
拖,71.11,3.5226,3.2936
瓜,70.77,3.5205,3.2643
例,70.64,3.5197,3.3043
财,70.56,3.5192,3.2114
瓶,70.52,3.5189,3.2485
墙,70.45,3.5185,3.2413
拳,70.43,3.5184,2.9818
牢,70.39,3.5181,3.2304
典,69.94,3.5153,3.2548
垃,69.9,3.5151,3.2492
染,69.9,3.5151,3.1804
漫,69.87,3.5149,3.243
触,69.79,3.5144,3.296
胁,69.79,3.5144,3.2625
圾,69.75,3.5141,3.2487
施,69.68,3.5138,3.269
胸,69.68,3.5138,3.2472
阴,69.49,3.5126,3.2516
孕,69.45,3.5123,3.0795
惹,69.45,3.5123,3.3193
硬,69.34,3.5116,3.2683
逮,69.32,3.5115,3.2198
销,69.19,3.5107,3.2445
邦,69.17,3.5105,3.0667
劫,69.13,3.5103,3.0945
袭,69.02,3.5096,3.1775
育,69,3.5095,3.238
虫,68.91,3.5089,3.0903
嫌,68.51,3.5064,3.1565
累,68.49,3.5062,3.2822
怖,68.36,3.5054,3.1746
握,68.17,3.5042,3.3015
雨,68.08,3.5037,3.1559
缺,68.02,3.5032,3.309
琳,67.95,3.5028,2.6721
墨,67.44,3.4995,3.063
迫,67.44,3.4995,3.3103
采,67.25,3.4983,3.2683
辈,67.14,3.4976,3.3101
陷,67.08,3.4972,3.2865
蹈,67.06,3.4971,2.8274
限,66.97,3.4965,3.2942
巨,66.69,3.4947,3.244
鲍,66.65,3.4944,2.6395
针,66.57,3.4939,3.2385
雅,66.46,3.4932,3.0737
兹,66.37,3.4926,2.8785
尾,66.37,3.4926,3.2605
青,66.33,3.4923,3.218
席,66.29,3.4921,3.2103
逼,65.97,3.49,3.2927
犹,65.88,3.4894,3.1014
扮,65.69,3.4881,3.2492
赞,65.6,3.4876,3.2472
邀,65.46,3.4866,3.2251
净,65.43,3.4864,3.2942
闹,65.26,3.4853,3.2822
访,65.11,3.4843,3.224
良,65.01,3.4836,3.2938
叛,65.01,3.4836,3.1632
驾,64.84,3.4824,3.2127
范,64.84,3.4824,3.2425
俄,64.49,3.4802,2.9741
猪,64.47,3.48,3.1041
辛,64.47,3.48,3.1399
杉,64.17,3.478,3.0124
淘,64.09,3.4774,2.842
洞,63.98,3.4767,3.1787
冠,63.98,3.4767,3.0286
伟,63.73,3.4749,3.1934
珍,63.68,3.4747,3.063
梅,63.58,3.4739,2.8357
朗,63.36,3.4725,2.9703
欠,63.24,3.4716,3.2423
扯,63.02,3.4701,3.2774
丑,62.94,3.4695,3.2028
竞,62.51,3.4666,3.1268
剂,62.23,3.4646,3.1647
烈,62.17,3.4642,3.2541
李,62.12,3.4639,3.0531
村,62.06,3.4634,3.0257
厉,61.93,3.4625,3.273
厨,61.87,3.4621,3.1529
允,61.85,3.4619,3.2676
授,61.83,3.4618,3.0741
堆,61.66,3.4606,3.2788
庆,61.53,3.4597,3.2251
率,61.46,3.4592,3.2177
怒,61.4,3.4588,3.237
寓,61.4,3.4588,3.1361
液,61.31,3.4582,3.1411
谓,61.14,3.457,3.3071
估,61.1,3.4567,3.2594
鲜,61.06,3.4564,3.2393
磨,60.84,3.4548,3.2662
帅,60.84,3.4548,3.2055
婊,60.78,3.4544,3.0828
尿,60.69,3.4538,3.1361
键,60.61,3.4532,3.2704
余,60.18,3.4501,3.2938
绍,60.01,3.4489,3.2363
娃,59.82,3.4475,2.8494
刑,59.8,3.4473,3.091
扫,59.69,3.4465,3.2258
核,59.48,3.445,3.0607
损,59.22,3.4431,3.2312
辩,59.03,3.4417,3.0298
惯,59.03,3.4417,3.2929
傲,58.67,3.439,3.2243
减,58.67,3.439,3.2177
泡,58.65,3.4389,3.1623
摸,58.47,3.4376,3.1655
著,58.37,3.4368,3.2082
途,58.24,3.4358,3.276
矶,58.2,3.4355,2.9969
鼓,58.2,3.4355,3.1867
堡,58.11,3.4349,3.0693
愚,58.09,3.4347,3.2458
敏,58.03,3.4342,3.1411
版,57.81,3.4326,3.1602
盒,57.77,3.4323,3.1109
订,57.75,3.4322,3.1853
寄,57.58,3.4309,3.1813
赚,57.51,3.4304,3.1744
爵,57.43,3.4298,2.7789
材,57.3,3.4288,3.2009
盛,57.28,3.4286,3.1575
尤,57.19,3.428,3.1452
皇,57.13,3.4275,3.0241
夺,57.04,3.4268,3.2082
邮,56.92,3.4259,3.1222
俱,56.7,3.4242,3.1143
九,56.66,3.4239,3.1767
盗,56.64,3.4237,3.0158
尺,56.6,3.4234,3.1658
愉,56.45,3.4223,3.2529
序,56.15,3.42,3.1553
鼠,55.91,3.4181,3.0615
幕,55.85,3.4176,3.2014
踢,55.85,3.4176,3.1235
憾,55.74,3.4168,3.2562
汰,55.74,3.4168,2.6637
隔,55.7,3.4165,3.2183
彻,55.61,3.4158,3.2084
插,55.44,3.4145,3.2355
猎,55.38,3.414,3.0314
尚,55.38,3.414,3.0438
潜,55.27,3.4131,3.1492
构,55.14,3.4121,3.1995
烤,55.14,3.4121,3.1271
霍,55.02,3.4111,2.7582
悔,54.97,3.4108,3.1608
暂,54.89,3.4101,3.245
爽,54.78,3.4093,3.1752
扎,54.67,3.4084,3.1055
绪,54.61,3.4079,3.2196
讯,54.38,3.406,3.1021
吐,54.29,3.4053,3.155
吹,54.23,3.4048,3.1818
宾,54.14,3.4041,3.0711
侦,54.14,3.4041,3.0141
颗,53.91,3.4023,3.143
宁,53.86,3.4019,3.1992
罚,53.71,3.4007,3.167
欲,53.69,3.4005,3.2162
乡,53.56,3.3995,3.1156
帽,53.54,3.3993,3.1024
杜,53.54,3.3993,2.7177
豪,53.52,3.3992,3.1787
征,53.46,3.3986,3.1909
括,53.41,3.3983,3.243
盯,53.39,3.3981,3.2227
稳,53.27,3.3971,3.1951
胆,53.09,3.3957,3.2044
甲,53.09,3.3957,3.0722
赖,53.05,3.3953,3.1408
啤,53.03,3.3952,3.0938
佩,52.86,3.3938,2.9325
启,52.84,3.3936,3.1351
胎,52.73,3.3927,3.0824
帐,52.67,3.3922,3.1248
赏,52.6,3.3916,3.1858
抛,52.41,3.3901,3.1978
遭,52.41,3.3901,3.218
若,52.41,3.3901,3.0338
梯,52.16,3.3879,3.0759
震,52.16,3.3879,3.1222
述,51.92,3.386,3.1821
阵,51.86,3.3854,3.1942
仪,51.81,3.3851,3.1186
乖,51.75,3.3845,3.0488
宫,51.69,3.384,2.9504
咬,51.64,3.3836,3.0842
祷,51.58,3.3831,3.0997
祖,51.51,3.3826,3.0338
蜜,51.34,3.3811,3.029
耍,51.09,3.3789,3.1889
拼,50.96,3.3779,3.1268
惜,50.9,3.3773,3.2375
忠,50.87,3.3771,3.137
策,50.72,3.3758,3.1676
鼻,50.66,3.3753,3.1199
钻,50.66,3.3753,2.9773
池,50.64,3.3751,3.0803
虚,50.6,3.3747,3.2138
桑,50.51,3.374,2.8215
拾,50.43,3.3733,3.2071
泳,50.4,3.3731,3.0116
频,50.4,3.3731,3.0896
尖,50.34,3.3725,3.1508
申,50.34,3.3725,3.0945
违,50.13,3.3707,3.177
零,49.89,3.3687,3.1495
诊,49.89,3.3687,2.9996
嘘,49.81,3.3679,3.0878
惧,49.76,3.3675,3.1255
拯,49.47,3.3649,3.1007
痕,49.44,3.3647,3.0792
批,49.38,3.3642,3.1599
绿,49.36,3.364,3.1011
乘,49.32,3.3636,3.0633
佳,49.29,3.3634,3.1209
熊,49.23,3.3629,2.8739
辣,49.1,3.3617,3.058
躺,48.97,3.3606,3.1838
祈,48.95,3.3604,3.098
肥,48.93,3.3602,3.0689
址,48.91,3.36,3.1364
占,48.91,3.36,3.183
络,48.8,3.3591,3.0973
掩,48.8,3.3591,3.1596
省,48.78,3.3589,3.1498
羊,48.78,3.3589,3.0402
荒,48.76,3.3587,3.1798
督,48.72,3.3583,2.944
撤,48.57,3.357,3.0418
胖,48.5,3.3564,3.022
辞,48.5,3.3564,3.1089
增,48.46,3.356,3.1744
援,48.44,3.3558,3.0573
郎,48.4,3.3555,2.9206
献,48.33,3.3549,3.1461
擦,48.25,3.3541,3.1517
农,48.14,3.3531,2.9523
邪,47.95,3.3514,3.0477
姻,47.93,3.3512,3.029
恢,47.89,3.3508,3.1641
描,47.86,3.3506,3.1492
匹,47.82,3.3502,3.0512
软,47.8,3.3501,3.1661
埋,47.8,3.3501,3.1166
惨,47.65,3.3487,3.1928
洋,47.5,3.3473,3.0588
纯,47.48,3.3471,3.1623
浴,47.46,3.3469,3.1004
贴,47.31,3.3456,3.1752
尉,47.22,3.3448,2.6812
略,47.18,3.3444,3.143
符,47.16,3.3442,3.1103
侵,47.07,3.3434,3.086
陆,46.9,3.3418,2.9983
载,46.9,3.3418,3.1183
爬,46.8,3.3408,3.1159
挖,46.63,3.3393,3.0622
骄,46.39,3.3371,3.1455
兽,46.28,3.3361,2.9818
嫁,46.18,3.3351,3.0726
洁,46.18,3.3351,3.0362
晨,46.18,3.3351,3.1529
喊,46.03,3.3336,3.1364
奏,45.96,3.333,3.0039
灰,45.69,3.3304,3.1
摔,45.62,3.3298,3.0842
羞,45.6,3.3296,3.1498
邻,45.41,3.3278,3.1028
椅,45.17,3.3255,3.0864
颜,45.17,3.3255,3.1367
欺,45.13,3.3251,3.1092
端,45.11,3.3249,3.1575
贺,44.77,3.3216,3.0488
茶,44.6,3.3199,3.0241
障,44.6,3.3199,3.0781
慈,44.58,3.3197,2.9961
仇,44.51,3.3191,3.0603
厂,44.34,3.3174,2.9666
怨,44.34,3.3174,3.1697
逊,44.3,3.317,2.8932
黎,44.15,3.3156,2.9175
剪,44.06,3.3147,3.009
春,43.98,3.3139,3.0565
额,43.96,3.3137,3.1159
豆,43.89,3.313,2.993
罢,43.89,3.313,3.1374
裂,43.74,3.3115,3.066
挡,43.62,3.3103,3.1511
偏,43.59,3.3101,3.1059
糊,43.55,3.3096,3.1541
卧,43.53,3.3094,3.0752
敲,43.49,3.309,3.1069
丧,43.42,3.3084,3.1498
乌,43.06,3.3047,2.8609
购,43.04,3.3045,3.0596
域,42.76,3.3017,3.0678
闲,42.74,3.3015,3.1632
宇,42.72,3.3012,2.8041
姓,42.63,3.3004,3.0892
葬,42.44,3.2984,3.012
党,42.38,3.2978,2.8603
售,42.36,3.2975,3.0806
涂,42.36,3.2975,3.1316
碍,42.33,3.2973,3.1345
柜,42.16,3.2956,3.0689
壮,42.14,3.2953,3.1136
裁,42.1,3.2949,3.0099
珠,42.06,3.2945,2.8899
咪,41.99,3.2938,2.786
耐,41.95,3.2934,3.1261
勃,41.76,3.2914,2.7226
琴,41.74,3.2911,2.8445
账,41.69,3.2907,3.0261
固,41.59,3.2896,3.1329
唔,41.57,3.2894,2.7604
唐,41.4,3.2876,2.943
貌,41.27,3.2862,3.1584
漏,41.22,3.2858,3.1248
卢,41.08,3.2842,2.6385
荡,40.9,3.2824,3.0842
扣,40.82,3.2815,3.0792
仰,40.65,3.2797,3.0302
君,40.58,3.279,2.8921
夹,40.56,3.2788,3.0697
倍,40.56,3.2788,3.1268
晓,40.52,3.2783,2.9479
牧,40.48,3.2778,2.842
桥,40.43,3.2774,2.9289
辑,40.35,3.2765,2.9965
巡,40.26,3.2755,3.0052
喷,40.2,3.2749,3.0133
詹,40.16,3.2744,2.5933
牲,40.14,3.2742,3.0611
昏,40.03,3.273,3.0531
凡,40.03,3.273,3.0322
肤,40.01,3.2728,3.0618
饰,39.99,3.2725,3.0885
灾,39.92,3.2718,3.0273
欣,39.92,3.2718,3.1017
谷,39.86,3.2711,2.9509
芬,39.82,3.2707,2.6821
滩,39.82,3.2707,2.9809
愤,39.73,3.2697,3.0734
敦,39.67,3.269,2.8376
厕,39.62,3.2686,3.0457
奸,39.58,3.2681,2.8998
坞,39.47,3.2669,2.7952
贱,39.45,3.2667,3.0145
盟,39.43,3.2665,2.8645
闯,39.37,3.2658,3.0867
咒,39.28,3.2648,2.8561
窃,39.26,3.2646,2.968
辜,39.26,3.2646,3.0326
朵,39.09,3.2627,3.0334
植,39,3.2617,2.9154
圆,38.96,3.2613,3.0338
篮,38.96,3.2613,2.8189
屎,38.94,3.261,2.9263
伪,38.88,3.2603,3.0438
距,38.88,3.2603,3.0948
延,38.88,3.2603,3.0824
凭,38.85,3.2601,3.1232
田,38.83,3.2598,2.7959
捐,38.77,3.2591,2.8768
挣,38.73,3.2586,3.0766
蕾,38.73,3.2586,2.7889
饮,38.66,3.2579,3.0792
宽,38.32,3.2541,3.0722
驶,38.32,3.2541,2.9881
伸,38.3,3.2538,3.0774
析,38.28,3.2536,3.0004
戈,38.26,3.2533,2.6665
媒,38.15,3.2521,2.9638
裙,38.04,3.2509,2.9542
倾,38.02,3.2507,3.1011
辱,37.92,3.2494,3.0792
缝,37.85,3.2487,2.9685
妞,37.83,3.2485,2.9859
惑,37.68,3.2467,3.0993
狼,37.62,3.246,2.8745
矩,37.53,3.245,3.0469
脉,37.51,3.2448,2.98
绕,37.45,3.244,3.0748
宗,37.38,3.2433,2.9899
祸,37.38,3.2433,3.0273
益,37.36,3.243,3.0704
壁,37.3,3.2423,3.066
荷,37.25,3.2418,2.9345
柯,37.25,3.2418,2.5416
虎,37.25,3.2418,2.8915
趴,37.13,3.2403,2.9047
汇,37.08,3.2398,3.0257
缩,37.06,3.2395,3.0799
诗,37.02,3.239,2.8876
泽,37,3.2388,2.8439
诱,36.95,3.2383,3.0774
溜,36.95,3.2383,3.0162
赫,36.95,3.2383,2.6794
殊,36.95,3.2383,3.092
济,36.91,3.2378,3
含,36.85,3.237,3.0867
隆,36.83,3.2368,2.7774
狠,36.7,3.2353,2.9489
甩,36.7,3.2353,3.041
燃,36.7,3.2353,2.9657
抵,36.63,3.2345,3.0667
粗,36.49,3.2327,3.1031
妓,36.49,3.2327,2.9096
炒,36.46,3.2325,2.9201
揭,36.42,3.232,2.9703
涉,36.34,3.231,3.0997
晕,36.23,3.2297,3.0652
澡,36.23,3.2297,3.0508
偿,36.21,3.2294,3.0693
牵,36.14,3.2287,3.0878
岸,36.14,3.2287,2.945
呐,35.97,3.2266,2.882
肚,35.95,3.2263,3.0588
暖,35.87,3.2253,3.0298
绳,35.84,3.2251,2.9079
蛇,35.78,3.2243,2.8
婴,35.78,3.2243,2.9335
胞,35.76,3.224,2.9455
链,35.76,3.224,2.9657
薄,35.74,3.2238,3.0434
瞎,35.74,3.2238,3.0671
阁,35.7,3.2232,2.7672
湖,35.67,3.223,2.8573
讶,35.67,3.223,3.0881
齐,35.67,3.223,2.9754
哎,35.55,3.2214,2.9365
瞒,35.52,3.2212,3.0637
逐,35.5,3.2209,3.0187
豁,35.5,3.2209,2.4133
韦,35.42,3.2198,2.5302
肩,35.29,3.2183,3.0607
呵,35.23,3.2175,2.8021
缘,35.23,3.2175,3.0748
巫,35.2,3.2172,2.7251
渴,35.14,3.2164,3.063
筑,35.08,3.2156,2.9504
励,35.01,3.2148,3.0249
艰,34.86,3.213,3.0406
予,34.8,3.2122,3.0626
泄,34.8,3.2122,3.0434
冻,34.59,3.2095,2.959
积,34.54,3.209,3.0599
拨,34.52,3.2087,2.8904
癌,34.37,3.2068,2.7973
云,34.35,3.2066,2.9547
幽,34.33,3.2063,2.9708
韩,34.29,3.2057,2.5623
乳,34.26,3.2055,2.933
遵,34.18,3.2044,3.0457
龄,34.03,3.2025,2.9854
汁,33.97,3.2017,2.968
罐,33.92,3.2011,2.9096
酱,33.86,3.2003,2.943
骚,33.84,3.2,3.0124
芭,33.82,3.1998,2.6454
亨,33.82,3.1998,2.6284
齿,33.56,3.1965,2.9566
忽,33.56,3.1965,3.0693
肠,33.43,3.1948,2.9805
钢,33.3,3.1931,2.8971
押,33.24,3.1923,2.9661
玻,33.22,3.192,2.9552
姿,33.05,3.1898,2.8779
召,33.01,3.1892,2.9899
恰,32.96,3.1886,2.9547
擅,32.94,3.1884,3.0719
柔,32.92,3.1881,3.0082
患,32.88,3.1875,2.9987
剑,32.83,3.187,2.6776
篇,32.83,3.187,2.9624
汗,32.81,3.1867,2.9609
牺,32.79,3.1864,2.9921
阶,32.77,3.1861,3.0099
割,32.75,3.1858,2.968
拔,32.64,3.1844,2.9823
酸,32.6,3.1838,2.9523
叶,32.56,3.1833,2.8651
歇,32.49,3.1824,2.8621
亿,32.47,3.1821,2.8543
趟,32.43,3.1816,3.0689
扭,32.39,3.181,2.9903
稣,32.39,3.181,2.7185
胶,32.32,3.1801,2.9528
裸,32.3,3.1798,2.9112
眠,32.19,3.1784,2.945
融,32.17,3.1781,3.0128
仿,32,3.1758,2.9708
抬,31.94,3.1749,3.0056
臂,31.75,3.1723,2.9894
